SourceID,SiteID,TimeSeriesID,Protocol,Latitude,Longitude,BioRealm,HydroBasin,Country,Region,Province,Waterbody,
4,S1292,G112,Electrofishing_backpack,46.8234,17.81301,Palearctic,2080008490,HUN,SOMOGY,BALATONFOLDVARI,BUDOSGATI-VIZ,ESCANGALHADO
4,S2672,G132,Electrofishing_backpack,46.8371,16.49634,Palearctic,2080008490,HUN,VAS,ORISZENTPETER,DENKE-PATAK,FORQUETA
4,S10804,G125,Electrofishing_backpack,46.82699,16.94634,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,SZEVIZ,
4,S3230,G141,Electrofishing_backpack,46.80081,17.39633,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,EDERICSI-PATAK,
4,S10326,G120,Electrofishing_backpack,46.84321,16.56301,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,SZENTJAKABI-PATAK,
4,S11783,G135,Electrofishing_backpack,46.83985,16.42968,Palearctic,2080008490,HUN,VAS,ORISZENTPETER,ZALA,
4,S11848,G139,Electrofishing_backpack,46.97804,17.02972,Palearctic,2080008490,HUN,ZALA,ZALASZENTGROT,ZALA,
4,S10456,G122,Electrofishing_backpack,46.86149,16.52968,Palearctic,2080008490,HUN,VAS,ORISZENTPETER,SZENTJAKABI-PATAK,
4,S10577,G123,Electrofishing_backpack,46.82997,16.76301,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,SZENTMIHALYFAI-PATAK,
4,S11036,G127,Electrofishing_backpack,46.84541,16.56301,Palearctic,2080008490,HUN,VAS,ORISZENTPETER,SZOCEI-PATAK,
4,S11860,G140,Electrofishing_backpack,46.85027,16.62968,Palearctic,2080008490,HUN,ZALA,PACSA/ZALAEGERSZEG,ZALA,
4,S11382,G130,Electrofishing_backpack,46.86394,17.44635,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,TAPOLCA-PATAK,
5,S6003,G146,Electrofishing_boat,39.86131,-86.87111,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
5,S11877,G150,Electrofishing_boat,39.83563,-86.93486,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
5,S11985,G151,Electrofishing_boat,39.82697,-86.93788,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
5,S12219,G152,Electrofishing_boat,39.81753,-86.95239,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
5,S12292,G153,Electrofishing_boat,39.80869,-86.9599,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
5,S9153,G147,Electrofishing_boat,39.85278,-86.89267,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
5,S10447,G148,Electrofishing_boat,39.84612,-86.92014,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
5,S11610,G149,Electrofishing_boat,39.83183,-86.92827,Nearctic,7080047060,USA,INDIANA,PUTNAM,BIG RACOON CREEK,
6,S7868,G154,Electrofishing_backpack,-26.05719,153.0072,Australasia,5080070220,AUS,QUEENSLAND,COOLOOLA (EXCL. GYMPIE),NOOSA RIVER,
6,S7869,G155,Electrofishing_backpack,-26.29785,152.9304,Australasia,5080070220,AUS,QUEENSLAND,NOOSA BAL,SANDY CREEK,
6,S7870,G156,Electrofishing_backpack,-26.2532,152.9569,Australasia,5080070220,AUS,QUEENSLAND,NOOSA BAL,KIN KIN CREEK,
6,S7871,G157,Electrofishing_backpack,-26.3508,152.9697,Australasia,5080070220,AUS,QUEENSLAND,NOOSA BAL,RINGTAIL CREEK,
6,S7872,G158,Electrofishing_backpack,-26.4125,153.096,Australasia,5080070230,AUS,QUEENSLAND,NOOSA - NOOSA-NOOSAVILLE,BURGESS CREEK,
6,S7990,G159,Electrofishing_backpack,-26.7522,152.9203,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - RAIL CORRIDOR,MOOLOOLAH RIVER,
6,S7991,G160,Electrofishing_backpack,-26.7518,153.0817,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - CALOUNDRA N.,MOOLOOLAH RIVER,
6,S7992,G161,Electrofishing_backpack,-26.5089,152.9572,Australasia,5080070250,AUS,QUEENSLAND,MAROOCHY,NORTH MAROOCHY RIVER,
6,S7993,G162,Electrofishing_backpack,-26.5608,152.9439,Australasia,5080070250,AUS,QUEENSLAND,MAROOCHY,SOUTH MAROOCHY RIVER,
6,S7994,G163,Electrofishing_backpack,-26.4836,153.0545,Australasia,5080070230,AUS,QUEENSLAND,MAROOCHY,DOONAN CREEK,
6,S7995,G164,Electrofishing_backpack,-26.62043,152.9722,Australasia,5080070250,AUS,QUEENSLAND,MAROOCHY - NAMBOUR,PETRIE CREEK,
6,S7996,G165,Electrofishing_backpack,-26.68207,153.0037,Australasia,5080070250,AUS,QUEENSLAND,MAROOCHY - PAYNTER-PETRIE CREEK,EUDLO CREEK,
6,S7997,G166,Electrofishing_backpack,-26.937,152.9809,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - RAIL CORRIDOR,TIBROGARGAN CREEK,
