"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"7209",51188,"Teleostei","Characiformes","Characidae",50,3.944148471,0.698364165,0.284720397,0.624288897,0.808027167,0.514032119,0.227961611,0.14357003,2.635934878,"Photograph","Ota, R. R., Deprá, G. D. C., Graça, W. J. D., & Pavanelli, C. S. (2018). Peixes da planície de inundaçao do alto rio Paraná e áreas adjacentes: revised, annotated and updated. Neotropical Ichthyology 16 (2).","Salminus hilarii"
"7210",49291,"Teleostei","Salmoniformes","Salmonidae",40,3.88358393,0.54839657,0.308076923,0.474421473,0.751953846,0.381769059,0.275619641,0.169120972,2.838193318,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Salmo aphelios"
"7211",46490,"Teleostei","Salmoniformes","Salmonidae",50,3.82149114,0.571576385,0.363789187,0.468629849,0.773557474,0.388187986,0.307946008,0.160525393,2.531535581,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Salmo carpio"
"7212",46492,"Teleostei","Salmoniformes","Salmonidae",88,4.111318514,0.46002989,0.268802753,0.408727088,0.933702489,0.549385961,0.105754066,0.16628137,2.694710623,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Salmo dentex"
"7213",4792,"Teleostei","Salmoniformes","Salmonidae",104,4.591276785,0.447864376,0.359544596,0.38188807,0.726007715,0.459187918,0.215247698,0.148458513,3.35273265,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Salmo ischchan"
"7214",48205,"Teleostei","Salmoniformes","Salmonidae",110,4.021182007,0.457372797,0.337829627,0.460144215,0.835189911,0.469688802,0.141190124,0.154848722,2.338002966,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Salmo labrax"
"7215",6423,"Teleostei","Salmoniformes","Salmonidae",76,3.557150877,0.417728215,0.289942091,0.344778262,0.606903383,0.354197254,0.206262415,0.156560123,3.133358683,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Salmo letnica"
"7216",46498,"Teleostei","Salmoniformes","Salmonidae",120,4.786474032,0.525046706,0.240075998,0.464300245,0.929237552,0.572499689,0.159911986,0.122282764,2.05981087,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmo marmoratus"
"7217",6210,"Teleostei","Salmoniformes","Salmonidae",70,3.927191593,0.52058698,0.206323007,0.350850167,0.562468258,0.455698034,0.240990258,0.139196797,2.562468203,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmo obtusirostris"
"7218",46506,"Teleostei","Salmoniformes","Salmonidae",34,3.973713537,0.475443388,0.388560033,0.380494556,0.464910892,0.460191558,0.284431334,0.15906454,2.223285418,"Photograph","Associazione Ichthyos, Web Museum della Fauna Europea (http://www.ittiofauna.org)","Salmo ohridanus"
